size , quick , merge , heap , quick_sorted , merge_sorted , heap_sorted 
10,   2270,  6820, 3320, 2140, 6190,  3980,  
100,   32170,  72330, 46140, 32430, 67480,  48420,  
500,   192450,  358240, 288340, 357220, 326550,  292020,  
900,   344380,  593100, 518970, 976810, 575720,  541550,  
1300,   625020,  990190, 900730, 1973020, 926610,  948900,  
4300,   1865730,  2891120, 3093950, 19124570, 2744870,  3057160,  
7300,   3286770,  4714340, 5400910, 52755450, 4373890,  5486440,  
10300,   4924340,  6926110, 8002990, 104100070, 6418580,  8105750,  
20300,   9783850,  13333070, 16528330, 402070730, 12437920,  16692690,  
30300,   21585790,  30009010, 37639610, 75619414910, 35165770,  39641480,  
40300,   24191060,  32527320, 41417360, 1749169290, 27854870,  39237330,  
50300,   27270620,  35797840, 47403830, 2523551150, 32605870,  47273580,  
60300,   34818120,  44632520, 60444320, 3777848250, 42320950,  61898090,  
70300,   